Second,Volt,Volt2,
1.55600e-02,-6.00e-01,1.62e-01, 
1.56600e-02,-8.00e-01,1.80e-01, 
1.57600e-02,-8.00e-01,1.61e-01, 
1.58600e-02,-8.00e-01,1.80e-01, 
1.59600e-02,-8.00e-01,1.61e-01, 
1.60600e-02,-1.00e+00,1.80e-01, 
1.61600e-02,-1.00e+00,1.80e-01, 
1.62600e-02,-1.20e+00,1.62e-01, 
1.63600e-02,-1.20e+00,1.78e-01, 
1.64600e-02,-1.40e+00,1.61e-01, 
1.65600e-02,-1.40e+00,1.80e-01, 
1.66600e-02,-1.60e+00,1.60e-01, 
1.67600e-02,-1.60e+00,1.60e-01, 
1.68600e-02,-1.60e+00,1.78e-01, 
1.69600e-02,-1.60e+00,1.61e-01, 
1.70600e-02,-1.80e+00,1.80e-01, 
1.71600e-02,-1.80e+00,1.62e-01, 
1.72600e-02,-2.00e+00,1.78e-01, 
1.73600e-02,-2.00e+00,1.60e-01, 
1.74600e-02,-2.20e+00,1.77e-01, 
1.75600e-02,-2.20e+00,1.61e-01, 
1.76600e-02,-2.20e+00,1.80e-01, 
1.77600e-02,-2.20e+00,1.78e-01, 
1.78600e-02,-2.40e+00,1.59e-01, 
1.79600e-02,-2.40e+00,1.77e-01, 
1.80600e-02,-2.60e+00,1.61e-01, 
1.81600e-02,-2.60e+00,1.77e-01, 
1.82600e-02,-2.80e+00,1.60e-01, 
1.83600e-02,-3.00e+00,1.61e-01, 
1.84600e-02,-2.60e+00,1.78e-01, 
1.85600e-02,-2.60e+00,1.60e-01, 
1.86600e-02,-2.60e+00,1.77e-01, 
1.87600e-02,-2.40e+00,1.60e-01, 
1.88600e-02,-2.20e+00,1.78e-01, 
1.89600e-02,-2.20e+00,1.59e-01, 
1.90600e-02,-2.20e+00,1.63e-01, 
1.91600e-02,-2.20e+00,1.76e-01, 
1.92600e-02,-2.00e+00,1.60e-01, 
1.93600e-02,-2.00e+00,1.61e-01, 
1.94600e-02,-1.80e+00,1.78e-01, 
1.95600e-02,-2.00e+00,1.64e-01, 
1.96600e-02,-1.60e+00,1.60e-01, 
1.97600e-02,-1.60e+00,1.63e-01, 
1.98600e-02,-1.60e+00,1.70e-01, 
1.99600e-02,-1.60e+00,1.78e-01, 
2.00600e-02,-1.40e+00,1.65e-01, 
2.01600e-02,-1.40e+00,1.60e-01, 
2.02600e-02,-1.20e+00,1.77e-01, 
2.03600e-02,-1.20e+00,1.60e-01, 
2.04600e-02,-1.00e+00,1.79e-01, 
2.05600e-02,-1.00e+00,1.76e-01, 
2.06600e-02,-8.00e-01,1.60e-01, 
2.07600e-02,-8.00e-01,1.64e-01, 
2.08600e-02,-8.00e-01,1.80e-01, 
2.09600e-02,-8.00e-01,1.60e-01, 
2.10600e-02,-6.00e-01,1.78e-01, 
2.11600e-02,-4.00e-01,1.59e-01, 
2.12600e-02,-4.00e-01,1.79e-01, 
2.13600e-02,-4.00e-01,1.62e-01, 
2.14600e-02,-2.00e-01,1.78e-01, 
2.15600e-02,-2.00e-01,1.60e-01, 
2.16600e-02,-2.00e-01,1.78e-01, 
2.17600e-02,0.00e+00,1.61e-01, 
2.18600e-02,2.00e-01,1.78e-01, 
2.19600e-02,0.00e+00,1.79e-01, 
2.20600e-02,2.00e-01,1.60e-01, 
2.21600e-02,4.00e-01,1.60e-01, 
2.22600e-02,6.00e-01,1.80e-01, 
2.23600e-02,6.00e-01,1.80e-01, 
2.24600e-02,6.00e-01,1.60e-01, 
2.25600e-02,6.00e-01,1.80e-01, 
2.26600e-02,8.00e-01,1.60e-01, 
2.27600e-02,8.00e-01,1.61e-01, 
2.28600e-02,1.00e+00,1.80e-01, 
2.29600e-02,1.00e+00,1.60e-01, 
2.30600e-02,1.20e+00,1.78e-01, 
2.31600e-02,1.20e+00,1.80e-01, 
2.32600e-02,1.40e+00,1.61e-01, 
2.33600e-02,1.20e+00,1.80e-01, 
2.34600e-02,1.40e+00,1.62e-01, 
2.35600e-02,1.40e+00,1.81e-01, 
2.36600e-02,1.60e+00,1.62e-01, 
2.37600e-02,1.60e+00,1.61e-01, 
2.38600e-02,1.80e+00,1.80e-01, 
2.39600e-02,1.80e+00,1.62e-01, 
2.40600e-02,2.00e+00,1.82e-01, 
