Second,Volt,Volt2,
8.00000e-05,2.06e+00,1.79e-01, 
8.40000e-05,2.08e+00,1.74e-01, 
8.80000e-05,2.06e+00,1.73e-01, 
9.20000e-05,2.08e+00,1.76e-01, 
9.60000e-05,2.06e+00,1.76e-01, 
1.00000e-04,2.10e+00,1.73e-01, 
1.04000e-04,2.06e+00,1.72e-01, 
1.08000e-04,2.10e+00,1.76e-01, 
1.12000e-04,2.10e+00,1.76e-01, 
1.16000e-04,2.08e+00,1.80e-01, 
1.20000e-04,2.08e+00,1.79e-01, 
1.24000e-04,2.12e+00,1.83e-01, 
1.28000e-04,2.12e+00,1.82e-01, 
1.32000e-04,2.08e+00,1.87e-01, 
1.36000e-04,2.12e+00,1.86e-01, 
1.40000e-04,2.06e+00,1.91e-01, 
1.44000e-04,2.12e+00,1.90e-01, 
1.48000e-04,2.08e+00,1.93e-01, 
1.52000e-04,2.10e+00,1.93e-01, 
1.56000e-04,2.14e+00,1.91e-01, 
1.60000e-04,2.12e+00,1.94e-01, 
1.64000e-04,2.14e+00,1.90e-01, 
1.68000e-04,2.12e+00,1.92e-01, 
1.72000e-04,2.16e+00,1.88e-01, 
1.76000e-04,2.12e+00,1.88e-01, 
1.80000e-04,2.14e+00,1.85e-01, 
1.84000e-04,2.12e+00,1.85e-01, 
1.88000e-04,2.18e+00,1.82e-01, 
1.92000e-04,2.12e+00,1.81e-01, 
1.96000e-04,2.16e+00,1.77e-01, 
2.00000e-04,2.16e+00,1.79e-01, 
2.04000e-04,2.12e+00,1.75e-01, 
2.08000e-04,2.16e+00,1.76e-01, 
2.12000e-04,2.18e+00,1.74e-01, 
2.16000e-04,2.14e+00,1.77e-01, 
2.20000e-04,2.20e+00,1.74e-01, 
2.24000e-04,2.14e+00,1.74e-01, 
2.28000e-04,2.20e+00,1.77e-01, 
2.32000e-04,2.20e+00,1.75e-01, 
2.36000e-04,2.16e+00,1.79e-01, 
2.40000e-04,2.20e+00,1.79e-01, 
2.44000e-04,2.18e+00,1.84e-01, 
2.48000e-04,2.16e+00,1.82e-01, 
2.52000e-04,2.20e+00,1.87e-01, 
2.56000e-04,2.18e+00,1.84e-01, 
2.60000e-04,2.20e+00,1.90e-01, 
2.64000e-04,2.20e+00,1.88e-01, 
2.68000e-04,2.20e+00,1.92e-01, 
2.72000e-04,2.20e+00,1.92e-01, 
2.76000e-04,2.24e+00,1.90e-01, 
2.80000e-04,2.20e+00,1.94e-01, 
2.84000e-04,2.24e+00,1.90e-01, 
2.88000e-04,2.24e+00,1.92e-01, 
2.92000e-04,2.20e+00,1.89e-01, 
2.96000e-04,2.24e+00,1.89e-01, 
