Second,Volt,Volt2,
-3.29200e-04,-9.80e-01,1.77e-01, 
-3.28800e-04,-9.60e-01,1.78e-01, 
-3.28400e-04,-9.00e-01,1.76e-01, 
-3.28000e-04,-9.60e-01,1.76e-01, 
-3.27600e-04,-9.20e-01,1.76e-01, 
-3.27200e-04,-9.00e-01,1.77e-01, 
-3.26800e-04,-9.60e-01,1.75e-01, 
-3.26400e-04,-9.40e-01,1.76e-01, 
-3.26000e-04,-9.00e-01,1.74e-01, 
-3.25600e-04,-9.00e-01,1.74e-01, 
-3.25200e-04,-9.60e-01,1.75e-01, 
-3.24800e-04,-9.40e-01,1.74e-01, 
-3.24400e-04,-9.00e-01,1.75e-01, 
-3.24000e-04,-9.20e-01,1.74e-01, 
-3.23600e-04,-9.00e-01,1.75e-01, 
-3.23200e-04,-9.20e-01,1.75e-01, 
-3.22800e-04,-9.00e-01,1.73e-01, 
-3.22400e-04,-9.20e-01,1.73e-01, 
-3.22000e-04,-9.00e-01,1.75e-01, 
-3.21600e-04,-9.00e-01,1.74e-01, 
-3.21200e-04,-9.20e-01,1.75e-01, 
-3.20800e-04,-9.20e-01,1.75e-01, 
-3.20400e-04,-8.80e-01,1.74e-01, 
-3.20000e-04,-9.00e-01,1.75e-01, 
-3.19600e-04,-8.60e-01,1.73e-01, 
-3.19200e-04,-8.80e-01,1.74e-01, 
-3.18800e-04,-9.00e-01,1.75e-01, 
-3.18400e-04,-9.00e-01,1.74e-01, 
-3.18000e-04,-8.60e-01,1.75e-01, 
-3.17600e-04,-9.00e-01,1.74e-01, 
-3.17200e-04,-8.60e-01,1.73e-01, 
-3.16800e-04,-9.00e-01,1.74e-01, 
-3.16400e-04,-8.40e-01,1.73e-01, 
-3.16000e-04,-8.80e-01,1.73e-01, 
-3.15600e-04,-8.60e-01,1.70e-01, 
-3.15200e-04,-8.80e-01,1.71e-01, 
-3.14800e-04,-8.40e-01,1.70e-01, 
-3.14400e-04,-8.80e-01,1.71e-01, 
-3.14000e-04,-8.40e-01,1.74e-01, 
-3.13600e-04,-8.40e-01,1.73e-01, 
-3.13200e-04,-8.80e-01,1.72e-01, 
-3.12800e-04,-8.40e-01,1.73e-01, 
-3.12400e-04,-8.80e-01,1.75e-01, 
-3.12000e-04,-8.40e-01,1.74e-01, 
-3.11600e-04,-8.60e-01,1.73e-01, 
-3.11200e-04,-8.40e-01,1.73e-01, 
-3.10800e-04,-8.40e-01,1.71e-01, 
-3.10400e-04,-8.60e-01,1.70e-01, 
-3.10000e-04,-8.20e-01,1.72e-01, 
-3.09600e-04,-8.40e-01,1.72e-01, 
-3.09200e-04,-8.20e-01,1.70e-01, 
-3.08800e-04,-8.40e-01,1.72e-01, 
-3.08400e-04,-8.20e-01,1.71e-01, 
-3.08000e-04,-8.20e-01,1.71e-01, 
-3.07600e-04,-8.40e-01,1.73e-01, 
-3.07200e-04,-8.40e-01,1.73e-01, 
-3.06800e-04,-8.00e-01,1.72e-01, 
-3.06400e-04,-8.40e-01,1.72e-01, 
-3.06000e-04,-8.00e-01,1.70e-01, 
-3.05600e-04,-8.20e-01,1.71e-01, 
-3.05200e-04,-8.00e-01,1.69e-01, 
-3.04800e-04,-8.00e-01,1.70e-01, 
-3.04400e-04,-8.20e-01,1.72e-01, 
-3.04000e-04,-7.60e-01,1.71e-01, 
-3.03600e-04,-8.20e-01,1.70e-01, 
-3.03200e-04,-7.80e-01,1.71e-01, 
-3.02800e-04,-8.00e-01,1.70e-01, 
-3.02400e-04,-8.20e-01,1.69e-01, 
-3.02000e-04,-7.60e-01,1.70e-01, 
-3.01600e-04,-7.60e-01,1.70e-01, 
-3.01200e-04,-8.00e-01,1.71e-01, 
